data,concurso,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,dezena_7,dezena_8,dezena_9,dezena_10,dezena_11,dezena_12,dezena_13,dezena_14,dezena_15
2003-09-29,1,2,3,5,6,9,10,11,13,14,16,18,20,23,24,25
2003-10-06,2,1,4,5,6,7,9,11,12,13,15,16,19,20,23,24
2003-10-13,3,1,4,6,7,8,9,10,11,12,14,16,17,20,23,24
2003-10-20,4,1,2,4,5,8,10,12,13,16,17,18,19,23,24,25
2003-10-27,5,1,2,4,8,9,11,12,13,15,16,19,20,23,24,25
2003-11-03,6,1,2,4,5,6,7,10,12,15,16,17,19,21,23,25
2003-11-10,7,1,4,7,8,10,12,14,15,16,18,19,21,22,23,25
2003-11-17,8,1,5,6,8,9,10,13,15,16,17,18,19,20,22,25
2003-11-24,9,3,4,5,9,10,11,13,15,16,17,19,20,21,24,25
2003-12-01,10,2,3,4,5,6,8,9,10,11,12,14,19,20,23,24
2003-12-08,11,2,6,7,8,9,10,11,12,16,19,20,22,23,24,25
2003-12-15,12,1,2,4,5,7,8,9,10,11,12,14,16,17,24,25
2003-12-22,13,3,5,6,7,8,9,10,11,13,14,15,16,17,19,23
2003-12-29,14,1,2,5,6,7,9,13,14,15,18,19,20,21,23,25
2004-01-05,15,1,2,4,6,8,10,12,15,16,18,19,21,23,24,25
2004-01-12,16,2,5,6,7,8,10,12,13,15,17,19,21,23,24,25
2004-01-19,17,1,2,3,5,6,7,9,13,14,16,17,18,19,20,21
2004-01-26,18,2,6,7,8,10,11,14,15,17,18,19,20,22,23,24
2004-02-02,19,2,5,6,7,8,10,11,13,14,15,16,17,20,23,24
2004-02-09,20,3,4,6,7,8,9,10,14,16,17,18,19,20,23,24
2004-02-16,21,1,2,4,5,8,11,14,16,18,19,20,22,23,24,25
2004-02-25,22,1,2,3,4,5,6,7,9,10,12,13,14,15,22,25
2004-03-01,23,1,3,4,5,6,8,10,11,12,14,16,17,18,19,20
2004-03-08,24,1,2,3,5,7,10,11,14,17,19,20,21,23,24,25
2004-03-15,25,1,2,3,4,5,6,7,9,13,14,16,20,22,23,24
2004-03-22,26,5,7,8,9,10,11,13,14,16,17,19,20,21,22,23
2004-03-29,27,3,6,8,10,11,12,13,14,15,18,20,21,22,24,25
2004-04-05,28,1,3,7,9,10,11,12,13,14,16,17,18,19,20,21
2004-04-12,29,1,4,5,6,8,9,13,14,16,17,19,20,21,22,24
2004-04-19,30,1,2,3,4,6,7,8,11,14,17,19,20,21,22,23
2004-04-26,31,1,2,3,4,9,13,14,15,17,19,20,21,22,24,25
2004-05-03,32,1,2,4,6,7,9,10,11,14,15,16,17,20,22,23
2004-05-10,33,1,2,5,7,8,10,11,12,14,16,19,20,21,23,24
2004-05-17,34,1,2,4,7,8,9,10,11,15,16,18,19,20,21,23
2004-05-24,35,1,4,5,6,11,12,13,14,16,17,19,21,22,23,25
2004-05-31,36,1,4,5,7,8,10,11,14,17,19,20,21,22,23,24
2004-06-07,37,1,3,4,5,8,9,10,11,13,15,20,21,22,23,24
2004-06-14,38,1,2,3,6,7,8,9,10,13,14,15,16,22,24,25
2004-06-21,39,2,7,8,9,11,13,14,15,17,18,19,21,22,23,24
2004-06-28,40,1,2,5,7,8,10,12,13,14,16,17,20,21,22,24
2004-07-05,41,2,3,4,9,12,13,15,16,17,18,19,20,21,23,25
2004-07-12,42,1,3,4,5,6,8,11,12,14,15,17,21,22,24,25
2004-07-19,43,1,3,6,7,8,9,10,14,17,18,19,20,22,23,24
2004-07-26,44,3,4,5,6,10,11,12,13,14,18,19,21,23,24,25
2004-08-02,45,1,2,3,5,7,9,14,16,17,18,19,21,23,24,25
2004-08-09,46,1,2,4,5,6,8,10,11,14,18,19,21,23,24,25
2004-08-16,47,1,2,3,4,5,6,8,10,11,13,15,18,20,22,25
2004-08-23,48,2,5,6,7,11,13,15,16,17,18,19,20,21,22,23
2004-08-30,49,2,4,5,6,8,11,13,15,16,19,20,21,22,23,24
2004-09-06,50,1,2,3,6,7,9,10,11,12,13,19,20,21,23,25
2004-09-13,51,1,3,5,6,7,8,11,13,14,16,17,20,21,22,23
2004-09-20,52,1,2,4,8,9,11,12,13,15,16,21,22,23,24,25
2004-09-27,53,1,2,3,6,7,9,11,12,14,17,18,19,20,23,24
2004-10-04,54,2,4,5,6,7,8,9,12,14,16,18,20,21,22,24
2004-10-11,55,2,3,4,5,6,7,8,9,12,13,15,16,18,19,25
2004-10-18,56,1,2,5,9,12,13,14,15,16,17,19,20,22,23,24
2004-10-25,57,1,2,3,4,6,7,8,11,12,17,19,20,21,22,25
2004-11-01,58,3,4,5,6,11,12,13,14,15,16,17,18,19,20,22
2004-11-08,59,1,3,5,6,7,8,10,11,13,14,15,19,20,23,25
2004-11-16,60,1,2,3,4,5,8,11,16,17,18,19,22,23,24,25
